scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold26.73.1	34.0629166666667	3.33823003708699	28	32	34	36	41	1590.22550666123
superscaffold26.72.1	35.21375	3.3315346696147	29	33	35	37	42	1152.32779353307
superscaffold26.71.1	41.9291666666667	3.0305080929183	36	40	42	44	48	1109.25192117625
superscaffold26.70.1	30.268125	2.51703606266133	26	29	30	32	36	4197.70484298134
superscaffold26.69.1	41.8277083333333	2.55860725716335	37	40	42	43	47	2826.70641602305
superscaffold26.68.1	35.4083333333333	3.02699071340683	30	33	35	37	42	2034.32795705221
superscaffold26.67.1	31.8664583333333	3.52330968641977	26	29	32	34	39	632.589211158119
superscaffold26.66.1	33.2302083333333	3.41809837446704	27	31	33	35	40	863.05021635622
superscaffold26.65.1	42.8414583333333	2.97367591473193	37	41	43	45	49	1268.49757058588
superscaffold26.64.1	39.90125	3.12799779112578	34	38	40	42	46	1707.48359281976
superscaffold26.63.1	39.6585416666667	3.07689024033797	34	38	39	42	46	1334.47482864207
superscaffold26.62.1	50.8675	2.61464490769434	46	49	51	53	56	2701.13156827881
superscaffold26.61.1	50.4485416666667	2.58206784323848	46	49	50	52	56	2687.81007069465
superscaffold26.60.1	41.859375	3.08921583157489	36	40	42	44	48	622.88543436098
superscaffold26.59.1	38.2585416666667	3.01638747735737	33	36	38	40	44	920.567998995007
superscaffold26.58.1	33.898125	3.20076253954411	28	32	34	36	40	1601.78534805086
superscaffold26.57.1	37.4297916666667	2.80030435459497	32	36	37	39	43	2251.9807537106
superscaffold26.56.1	32.5916666666667	2.57092218812806	28	31	32	34	38	1825.29074370955
superscaffold26.55.1	35.8625	2.64922427283157	31	34	36	38	41	2822.58472857399
superscaffold26.54.1	31.9658333333333	2.88879811445625	27	30	32	34	38	3130.54071965157
superscaffold26.53.1	35.52125	3.06944803708162	30	33	35	37	42	2958.72889586207
superscaffold26.52.1	31.3285416666667	2.82809151981328	26	29	31	33	37	3223.87443478741
superscaffold26.51.1	37.6789583333333	2.63127022457237	33	36	38	39	43	2651.32276836429
superscaffold26.50.1	47.4854166666667	3.14473331256251	42	45	47	50	54	1362.42546386972
superscaffold26.49.1	36.133125	2.70413439122261	31	34	36	38	42	2611.87479220341
superscaffold26.48.1	31.0302083333333	3.11623205616891	25	29	31	33	37	2349.94168244984
superscaffold26.47.1	31.0777083333333	2.70937244773918	26	29	31	33	37	669.78991420566
superscaffold26.46.1	37.0802083333333	2.74126013825501	32	35	37	39	43	1991.79380127579
superscaffold26.45.1	36.39	2.79104632185564	31	34	36	38	42	1436.99922941132
superscaffold26.44.1	36.2872916666667	3.21205872821921	31	34	36	38	43	801.876173410752
superscaffold26.43.1	47.60625	3.38523978558652	41	45	48	50	55	669.775926025888
superscaffold26.42.1	34.7908333333333	3.1775938803839	29	33	35	37	41	909.105130779356
superscaffold26.41.1	39.75125	3.29399209685648	33	37	40	42	46	463.183184927671
superscaffold26.40.1	36.5191666666667	2.94939738236141	31	34	36	38	42	1677.38891082916
superscaffold26.39.1	43.300625	3.35225159767575	37	41	43	45	50	1456.1070045464
superscaffold26.38.1	33.4979166666667	2.98562155389271	28	31	33	35	40	1763.90443461912
superscaffold26.37.1	35.3210416666667	2.59819750909015	31	33	35	37	41	2956.39214508412
superscaffold26.36.1	33.98375	3.32702950672401	27	32	34	36	41	1093.0524486088
superscaffold26.35.1	37.6414583333333	2.84649097949867	33	36	37	40	43	1653.12146820334
superscaffold26.34.1	30.426875	2.98332984340885	25	28	30	32	36	1525.09876575201
superscaffold26.33.1	29.17875	2.70924237927128	24	27	29	31	34	558.807094916718
superscaffold26.32.1	35.90125	2.31194982698598	32	34	36	37	41	1759.0197659914
superscaffold26.31.1	35.4495833333333	2.64814446971047	30	34	35	37	41	2210.75171977512
superscaffold26.30.1	32.5691666666667	2.61254433991857	28	31	32	34	38	2684.87238677057
